C.0x105[4:0]	  	pre_emp_switching_ctrl_1st_post_tap
C.0x2E2[6]	  	override_tx_analogreset
C.0x2E2[7]	  	override_tx_digitalreset
"
C.0x11C[3:0] C.0x11A[7:0]"	  	eq_dc_gain_trim
C.0x11B[3]	  	one_stage_enable
C.0x11F[5:4]	eq_bw_sel
C.0x166[4:1]	adp_ctle_eqz_1s_sel
C.0x167[5:1]	adp_ctle_acgain_4s
C.0x177[3:0]	adapt_done
C.0x160[3:1]	adp_vga_sel
C.0x14F[6:0]	adp_dfe_fxtap1
C.0x150[6:0]	adp_dfe_fxtap2
C.0x150[7]	  	adp_dfe_fxtap2_sgn
C.0x151[6:0]	adp_dfe_fxtap3
C.0x151[7]	  	adp_dfe_fxtap3_sgn
C.0x152[5:0]	adp_dfe_fxtap4
C.0x152[6]	  	adp_dfe_fxtap4_sgn
C.0x153[5:0]	adp_dfe_fxtap5
C.0x153[6]	  	adp_dfe_fxtap5_sgn
C.0x154[4:0]	adp_dfe_fxtap6
C.0x154[5]	  	adp_dfe_fxtap6_sgn
C.0x155[4:0]	adp_dfe_fxtap7
C.0x155[5]	  	adp_dfe_fxtap7_sgn
C.0x157[5:0]	adp_dfe_fxtap8
C.0x157[6]	  	adp_dfe_fxtap8_sgn
C.0x158[5:0]	adp_dfe_fxtap9
C.0x158[6]	  	adp_dfe_fxtap9_sgn
C.0x159[5:0]	adp_dfe_fxtap10
C.0x159[6]	  	adp_dfe_fxtap10_sgn
C.0x15A[5:0]	adp_dfe_fxtap11
C.0x15A[6]	  	adp_dfe_fxtap11_sgn
C.0x176[6:0]	testmux
C.0x176[6:0]	testmux
C.0x176[6:0]	testmux
C.0x176[5:0]	testmux
C.0x176[5:0]	testmux
C.0x176[4:0]	testmux
C.0x176[4:0]	testmux
C.0x176[5:0]	testmux
C.0x176[5:0]	testmux
C.0x176[5:0]	testmux
C.0x176[5:0]	testmux
C.0x149[4]	  	adp_adapt_control_sel
C.0x100[6]	  	adp_trigg_request
C.0x000[0]	  	arbiter_ctrl_pma
C.0x100[6]	  	adp_trigg_request
C.0x340[2:0]	cfg_sel
C.0x340[6]	  	bcast_en
C.0x340[7]	  	cfg_load
C.0x341[0]	  	rcfg_busy
C.0x340[7]	  	cfg_load
C.0x340[2:0]	cfg_sel
C.0x341[0]	  	rcfg_busy
C.0x200[7:0]	IP Identifier
C.0x204[0]	  	Status Register Enabled
C.0x205[0]	  	Control Register Enabled
C.0x210[7:0]	Number of Channels
C.0x211[7:0]	Channel Number
C.0x212[7:0]	Duplex
C.0x213[0]	  	PRBS Soft Enabled
C.0x214[0]	  	ODI Acceleration Logic Enable
C.0x280[0]	  	rx_is_lockedtodata
C.0x280[1]	  	rx_is_lockedtoref
C.0x281[0] 	  	tx_cal_busy
C.0x281[1] 	  	rx_cal_busy
C.0x281[2] 	  	avmm_busy
C.0x281[4] 	  	tx_cal_busy_enable
C.0x281[5] 	  	rx_cal_busy_enable
C.0x2E0[0]	  	set_rx_locktodata
C.0x2E0[1]	  	set_rx_locktoref
C.0x2E0[2]	  	override_set_rx_locktodata
C.0x2E0[3]	  	override_set_rx_locktoref
C.0x2E1[0]	  	rx_seriallpbken
